,hhid,year,month,kwh,t
1,93,2013,1,0.632945766,1
2,93,2013,2,0.562696305,2
3,93,2013,3,0.579039292,3
4,93,2013,4,0.656187477,4
5,93,2013,5,0.928112455,5
6,93,2013,6,1.743701204,6
7,93,2013,7,1.891138889,7
8,93,2013,8,2.044394982,8
9,93,2013,9,1.686164676,9
10,93,2013,10,0.988713239,10
11,93,2013,11,0.677617315,11
12,93,2013,12,1.242025179,12
13,93,2014,1,0.780114471,13
14,93,2014,2,0.695973176,14
15,93,2014,3,0.618159319,15
16,93,2014,4,0.731225116,16
17,93,2014,5,0.967664091,17
18,93,2014,6,1.421906273,18
19,93,2014,7,1.741815547,19
20,93,2014,8,1.922921505,20
21,93,2014,9,1.375452755,21
22,93,2014,10,0.996266711,22
23,93,2014,11,0.73960081,23
24,93,2014,12,0.942217204,24
25,94,2013,1,0.737683042,1
26,94,2013,2,0.562618353,2
27,94,2013,3,0.553844265,3
28,94,2013,4,0.518305069,4
29,94,2013,5,0.56704711,5
30,94,2013,6,0.80053625,6
31,94,2013,7,0.849535865,7
32,94,2013,8,0.612848566,8
33,94,2013,9,0.801868171,9
34,94,2013,10,0.536102576,10
35,94,2013,11,0.462140139,11
36,94,2013,12,0.417811358,12
37,94,2014,1,0.404395878,13
38,94,2014,2,0.334652827,14
39,94,2014,3,0.367802442,15
40,94,2014,4,0.368262222,16
41,94,2014,5,0.431846483,17
42,94,2014,6,0.601840324,18
43,94,2014,7,0.708715905,19
44,94,2014,8,0.782785417,20
45,94,2014,9,0.611086296,21
46,94,2014,10,0.443231295,22
47,94,2014,11,0.355095787,23
48,94,2014,12,0.267748006,24
49,171,2013,1,0.598175806,1
50,171,2013,2,0.562893428,2
51,171,2013,3,0.520401389,3
52,171,2013,4,0.529637292,4
53,171,2013,5,0.813601568,5
54,171,2013,6,1.518119977,6
55,171,2013,7,1.190267608,7
56,171,2013,8,1.788087097,8
57,171,2013,9,1.529007338,9
58,171,2013,10,0.810360753,10
59,171,2013,11,0.635466991,11
60,171,2013,12,0.747628853,12
61,171,2014,1,0.618641935,13
62,171,2014,2,0.636554167,14
63,171,2014,3,0.492052061,15
64,171,2014,4,0.473921713,16
65,171,2014,5,0.744756877,17
66,171,2014,6,1.318394306,18
67,171,2014,7,1.293974642,19
68,171,2014,8,1.724297491,20
69,171,2014,9,1.260760417,21
70,171,2014,10,0.826294825,22
71,171,2014,11,0.58765287,23
72,171,2014,12,0.650796505,24
73,252,2013,1,1.917433849,1
74,252,2013,2,1.176607937,2
75,252,2013,3,1.637120789,3
76,252,2013,4,1.886500208,4
77,252,2013,5,3.09744655,5
78,252,2013,6,4.08160912,6
79,252,2013,7,2.980165614,7
80,252,2013,8,2.976613127,8
81,252,2013,9,2.495761088,9
82,252,2013,10,1.743230735,10
83,252,2013,11,1.504660718,11
84,252,2013,12,1.475173947,12
85,252,2014,1,1.566822177,13
86,252,2014,2,1.40476751,14
87,252,2014,3,1.227262769,15
88,252,2014,4,2.57843375,16
89,252,2014,5,3.586700493,17
90,252,2014,6,2.396815324,18
91,252,2014,7,3.165278965,19
92,252,2014,8,3.180704637,20
93,252,2014,9,2.51030419,21
94,252,2014,10,2.100013598,22
95,252,2014,11,1.561533935,23
96,252,2014,12,1.694504704,24
97,370,2013,1,1.158642092,1
98,370,2013,2,1.178062624,2
99,370,2013,3,0.997340121,3
100,370,2013,4,1.049869722,4
101,370,2013,5,1.716770699,5
102,370,2013,6,2.600204745,6
103,370,2013,7,2.567849507,7
104,370,2013,8,3.502709341,8
105,370,2013,9,2.675801181,9
106,370,2013,10,1.799029749,10
107,370,2013,11,1.315038032,11
108,370,2013,12,1.004234655,12
109,370,2014,1,1.034993123,13
110,370,2014,2,1.105702331,14
111,370,2014,3,1.106923678,15
112,370,2014,4,1.379338657,16
113,370,2014,5,2.23283685,17
114,370,2014,6,2.53507162,18
115,370,2014,7,1.737312881,19
116,370,2014,8,1.999265591,20
117,370,2014,9,1.78623338,21
118,370,2014,10,1.50178685,22
119,370,2014,11,1.117593356,23
120,370,2014,12,1.176626478,24
121,545,2013,1,0.922232751,1
122,545,2013,2,0.978422272,2
123,545,2013,3,0.998532348,3
124,545,2013,4,0.948915255,4
125,545,2013,5,1.616637814,5
126,545,2013,6,2.641904954,6
127,545,2013,7,2.360767652,7
128,545,2013,8,2.902344825,8
129,545,2013,9,1.958105046,9
130,545,2013,10,1.448669624,10
131,545,2013,11,0.781225324,11
132,545,2013,12,1.054844086,12
133,545,2014,1,1.03329897,13
134,545,2014,2,0.988913616,14
135,545,2014,3,0.886635349,15
136,545,2014,4,1.182990069,16
137,545,2014,5,1.476609901,17
138,545,2014,6,2.20972213,18
139,545,2014,7,2.493791823,19
140,545,2014,8,2.423625426,20
141,545,2014,9,2.096809931,21
142,545,2014,10,1.55552164,22
143,545,2014,11,0.865209352,23
144,545,2014,12,1.048739225,24
145,585,2013,1,0.519793996,1
146,585,2013,2,0.536284499,2
147,585,2013,3,0.593590614,3
148,585,2013,4,0.58144669,4
149,585,2013,5,0.880005354,5
150,585,2013,6,1.518207315,6
151,585,2013,7,1.418022984,7
152,585,2013,8,1.442994758,8
153,585,2013,9,1.286254282,9
154,585,2013,10,0.736025045,10
155,585,2013,11,0.469558657,11
156,585,2013,12,0.533633871,12
157,585,2014,1,0.546525,13
158,585,2014,2,0.508135293,14
159,585,2014,3,0.479491734,15
160,585,2014,4,0.629881505,16
161,585,2014,5,0.793542518,17
162,585,2014,6,1.223062361,18
163,585,2014,7,1.435237746,19
164,585,2014,8,1.576537276,20
165,585,2014,9,1.16726331,21
166,585,2014,10,0.838472334,22
167,585,2014,11,0.464052176,23
168,585,2014,12,0.557384924,24
169,624,2013,1,0.670900314,1
170,624,2013,2,0.376838963,2
171,624,2013,3,0.315785999,3
172,624,2013,4,0.363114931,4
173,624,2013,5,0.485362881,5
174,624,2013,6,0.835426389,6
175,624,2013,7,1.065307258,7
176,624,2013,8,1.012782168,8
177,624,2013,9,0.820048657,9
178,624,2013,10,0.513713374,10
179,624,2013,11,0.555147315,11
180,624,2013,12,0.958201546,12
181,624,2014,1,0.842938127,13
182,624,2014,2,0.681628571,14
183,624,2014,3,0.522113754,15
184,624,2014,4,0.415826782,16
185,624,2014,5,0.537018145,17
186,624,2014,6,0.858984699,18
187,624,2014,7,1.064930085,19
188,624,2014,8,1.12778022,20
189,624,2014,9,0.741584606,21
190,624,2014,10,0.626673297,22
191,624,2014,11,0.64110581,23
192,624,2014,12,0.761687679,24
193,739,2013,1,0.218309431,1
194,739,2013,2,0.193929663,2
195,739,2013,3,0.171706541,3
196,739,2013,4,0.224932986,4
197,739,2013,5,0.336678943,5
198,739,2013,6,0.888779213,6
199,739,2013,7,0.880513038,7
200,739,2013,8,0.984724104,8
201,739,2013,9,0.701648588,9
202,739,2013,10,0.323293884,10
203,739,2013,11,0.200785949,11
204,739,2013,12,0.202194601,12
205,739,2014,1,0.209950224,13
206,739,2014,2,0.201406548,14
207,739,2014,3,0.178098746,15
208,739,2014,4,0.225830394,16
209,739,2014,5,0.375821326,17
210,739,2014,6,0.765390023,18
211,739,2014,7,0.80953461,19
212,739,2014,8,1.042399238,20
213,739,2014,9,0.570141991,21
214,739,2014,10,0.35377948,22
215,739,2014,11,0.18259294,23
216,739,2014,12,0.1693806,24
217,744,2013,1,0.499691353,1
218,744,2013,2,0.463377455,2
219,744,2013,3,0.508827263,3
220,744,2013,4,0.753465301,4
221,744,2013,5,1.673888822,5
222,744,2013,6,2.353260856,6
223,744,2013,7,2.264021976,7
224,744,2013,8,2.204509274,8
225,744,2013,9,1.652908773,9
226,744,2013,10,1.003060484,10
227,744,2013,11,0.661552986,11
228,744,2013,12,0.652612209,12
229,744,2014,1,0.648000291,13
230,744,2014,2,0.634936706,14
231,744,2014,3,0.663354346,15
232,744,2014,4,0.791870602,16
233,744,2014,5,1.05786203,17
234,744,2014,6,1.691590463,18
235,744,2014,7,1.794698656,19
236,744,2014,8,2.001057303,20
237,744,2014,9,1.621294838,21
238,744,2014,10,1.220212074,22
239,744,2014,11,0.459053403,23
240,744,2014,12,0.477630578,24
241,861,2013,1,0.592149843,1
242,861,2013,2,0.443767684,2
243,861,2013,3,0.432475358,3
244,861,2013,4,0.478240023,4
245,861,2013,5,0.760021326,5
246,861,2013,6,1.605384282,6
247,861,2013,7,1.583665883,7
248,861,2013,8,1.737927778,8
249,861,2013,9,1.502163843,9
250,861,2013,10,0.877698522,10
251,861,2013,11,0.498792454,11
252,861,2013,12,0.556519467,12
253,861,2014,1,0.518361425,13
254,861,2014,2,0.507796726,14
255,861,2014,3,0.396118504,15
256,861,2014,4,0.49623037,16
257,861,2014,5,1.025964046,17
258,861,2014,6,1.433520509,18
259,861,2014,7,1.564489651,19
260,861,2014,8,1.829886694,20
261,861,2014,9,1.459907037,21
262,861,2014,10,0.851475157,22
263,861,2014,11,0.532197176,23
264,861,2014,12,0.533137366,24
265,890,2013,1,0.661609095,1
266,890,2013,2,0.607272941,2
267,890,2013,3,0.62850112,3
268,890,2013,4,0.682029884,4
269,890,2013,5,1.019668638,5
270,890,2013,6,1.739926551,6
271,890,2013,7,1.796337142,7
272,890,2013,8,2.010293369,8
273,890,2013,9,1.752672731,9
274,890,2013,10,0.92267556,10
275,890,2013,11,0.63576838,11
276,890,2013,12,0.623370296,12
277,890,2014,1,0.632985775,13
278,890,2014,2,0.611089757,14
279,890,2014,3,0.61522435,15
280,890,2014,4,0.671780069,16
281,890,2014,5,0.899267697,17
282,890,2014,6,1.470255347,18
283,890,2014,7,1.608181944,19
284,890,2014,8,2.001010954,20
285,890,2014,9,1.622268519,21
286,890,2014,10,1.20293759,22
287,890,2014,11,0.597226713,23
288,890,2014,12,0.614331272,24
289,898,2013,1,0.27477612,1
290,898,2013,2,0.223079142,2
291,898,2013,3,0.243796909,3
292,898,2013,4,0.196532616,4
293,898,2013,5,0.292364516,5
294,898,2013,6,0.579785278,6
295,898,2013,7,0.612677195,7
296,898,2013,8,0.715580018,8
297,898,2013,9,0.574396968,9
298,898,2013,10,0.303124798,10
299,898,2013,11,0.239570671,11
300,898,2013,12,0.269828069,12
301,898,2014,1,0.304670094,13
302,898,2014,2,0.300518477,14
303,898,2014,3,0.241173746,15
304,898,2014,4,0.253230972,16
305,898,2014,5,0.403730376,17
306,898,2014,6,0.705635602,18
307,898,2014,7,0.767407258,19
308,898,2014,8,0.882329279,20
309,898,2014,9,0.602931157,21
310,898,2014,10,0.373375717,22
311,898,2014,11,0.283968148,23
312,898,2014,12,0.386350605,24
313,1103,2013,1,0.392393324,1
314,1103,2013,2,0.363542783,2
315,1103,2013,3,0.34444776,3
316,1103,2013,4,0.341344769,4
317,1103,2013,5,0.469349686,5
318,1103,2013,6,1.034858542,6
319,1103,2013,7,1.017408356,7
320,1103,2013,8,1.13798237,8
321,1103,2013,9,0.647291481,9
322,1103,2013,10,0.487391756,10
323,1103,2013,11,0.276688032,11
324,1103,2013,12,0.369554794,12
325,1103,2014,1,0.398227957,13
326,1103,2014,2,0.364957217,14
327,1103,2014,3,0.35355168,15
328,1103,2014,4,0.389171111,16
329,1103,2014,5,0.499377957,17
330,1103,2014,6,0.831531065,18
331,1103,2014,7,1.01870401,19
332,1103,2014,8,1.36170914,20
333,1103,2014,9,0.817515995,21
334,1103,2014,10,0.489303338,22
335,1103,2014,11,0.353738681,23
336,1103,2014,12,0.344633916,24
337,1153,2013,1,1.352701703,1
338,1153,2013,2,1.189096751,2
339,1153,2013,3,1.292195878,3
340,1153,2013,4,1.380720741,4
341,1153,2013,5,1.501989225,5
342,1153,2013,6,2.270617407,6
343,1153,2013,7,2.661615547,7
344,1153,2013,8,3.164814494,8
345,1153,2013,9,2.655128611,9
346,1153,2013,10,1.850834229,10
347,1153,2013,11,1.381973449,11
348,1153,2013,12,1.170897133,12
349,1153,2014,1,1.227735842,13
350,1153,2014,2,1.197986607,14
351,1153,2014,3,1.171793548,15
352,1153,2014,4,1.600935486,16
353,1153,2014,5,1.910112164,17
354,1153,2014,6,2.866496366,18
355,1153,2014,7,2.95362211,19
356,1153,2014,8,3.056672984,20
357,1153,2014,9,2.652470602,21
358,1153,2014,10,2.093663889,22
359,1153,2014,11,0.99112037,23
360,1153,2014,12,0.981963799,24
361,1283,2013,1,1.16947388,1
362,1283,2013,2,1.261738542,2
363,1283,2013,3,1.075806138,3
364,1283,2013,4,0.970263519,4
365,1283,2013,5,1.455114919,5
366,1283,2013,6,1.548454306,6
367,1283,2013,7,1.807424978,7
368,1283,2013,8,2.782400582,8
369,1283,2013,9,2.280586991,9
370,1283,2013,10,1.54884422,10
371,1283,2013,11,1.064355255,11
372,1283,2013,12,1.087903271,12
373,1283,2014,1,1.080667496,13
374,1283,2014,2,1.118646627,14
375,1283,2014,3,1.046923499,15
376,1283,2014,4,0.907848819,16
377,1283,2014,5,1.207499373,17
378,1283,2014,6,1.387659005,18
379,1283,2014,7,2.250508557,19
