custid,yearmonthid,kwh
1,200808,1071
1,200809,949
1,200810,861
1,200811,842
1,200812,929
1,200901,995
1,200902,846
1,200903,853
1,200904,735
1,200905,801
1,200906,731
1,200907,1233
1,200908,1291
1,200909,932
1,200910,962
1,200911,944
1,200912,934
1,201001,1027
1,201002,900
1,201003,878
1,201004,605
1,201005,789
1,201006,820
1,201007,941
2,200808,625
2,200809,504
2,200810,313
2,200811,381
2,200812,366
2,200901,931
2,200902,310
2,200903,636
2,200904,473
2,200905,400
2,200906,322
2,200907,479
2,200908,436
2,200909,496
2,200910,357
2,200911,388
2,200912,368
2,201001,581
2,201002,316
2,201003,417
2,201004,505
2,201005,337
2,201006,383
2,201007,604
3,200808,421
3,200809,411
3,200810,830
3,200811,377
3,200812,483
3,200901,438
3,200902,357
3,200903,417
3,200904,336
3,200905,422
3,200906,365
3,200907,359
3,200908,463
3,200909,394
3,200910,380
3,200911,385
3,200912,409
3,201001,454
3,201002,394
3,201003,371
3,201004,296
3,201005,343
3,201006,0
3,201007,368
4,200808,1058
4,200809,1086
4,200810,957
4,200811,920
4,200812,731
4,200901,892
4,200902,765
4,200903,1506
4,200904,569
4,200905,699
4,200906,699
4,200907,787
4,200908,681
4,200909,624
4,200910,755
4,200911,751
4,200912,914
4,201001,998
4,201002,868
4,201003,782
4,201004,618
4,201005,624
4,201006,622
4,201007,875
5,200808,586
5,200809,547
5,200810,539
5,200811,603
5,200812,795
5,200901,979
5,200902,751
5,200903,746
5,200904,588
5,200905,546
5,200906,592
5,200907,397
5,200908,583
5,200909,474
5,200910,505
5,200911,576
5,200912,654
5,201001,911
5,201002,656
5,201003,562
5,201004,441
5,201005,523
5,201006,429
5,201007,623
6,200808,0
6,200809,521
6,200810,890
6,200811,0
6,200812,1211
6,200901,749
6,200902,1026
6,200903,846
6,200904,470
6,200905,520
6,200906,520
6,200907,986
6,200908,412
6,200909,487
6,200910,850
6,200911,0
6,200912,1584
6,201001,739
6,201002,668
6,201003,525
6,201004,421
6,201005,452
6,201006,0
6,201007,465
7,200808,1887
7,200809,1720
7,200810,1245
7,200811,1138
7,200812,1525
7,200901,3157
7,200902,2826
7,200903,2196
7,200904,1639
7,200905,1165
7,200906,1203
7,200907,1678
7,200908,1518
7,200909,1636
7,200910,1712
7,200911,1400
7,200912,1393
7,201001,2994
7,201002,2786
7,201003,2093
7,201004,1458
7,201005,1175
7,201006,1382
7,201007,1622
8,200808,1152
8,200809,1377
8,200810,1358
8,200811,1307
8,200812,1738
8,200901,1403
8,200902,1283
8,200903,1222
8,200904,1116
8,200905,1007
8,200906,1042
8,200907,1033
8,200908,1186
8,200909,878
8,200910,976
8,200911,936
8,200912,1189
8,201001,1433
8,201002,1062
8,201003,948
8,201004,982
8,201005,1001
8,201006,893
8,201007,1092
9,200808,290
9,200809,250
9,200810,232
9,200811,266
9,200812,289
9,200901,292
9,200902,264
9,200903,265
9,200904,217
9,200905,250
9,200906,234
9,200907,273
9,200908,255
9,200909,267
9,200910,233
9,200911,243
9,200912,0
9,201001,543
9,201002,246
9,201003,297
9,201004,229
9,201005,237
9,201006,247
9,201007,279
10,200808,778
10,200809,807
10,200810,693
10,200811,752
10,200812,734
10,200901,1154
10,200902,729
10,200903,1456
10,200904,481
10,200905,601
10,200906,601
10,200907,679
10,200908,798
10,200909,804
10,200910,775
10,200911,705
10,200912,655
10,201001,932
10,201002,740
10,201003,693
10,201004,697
10,201005,478
10,201006,633
10,201007,704
11,200808,386
11,200809,459
11,200810,310
11,200811,78
11,200812,111
11,200901,128
11,200902,135
11,200903,109
11,200904,92
11,200905,85
11,200906,74
11,200907,190
11,200908,365
11,200909,470
11,200910,319
11,200911,90
11,200912,90
11,201001,131
11,201002,121
11,201003,102
11,201004,84
11,201005,81
11,201006,67
11,201007,403
12,200808,1494
12,200809,1367
12,200810,2356
12,200811,2883
12,200812,4457
12,200901,7496
12,200902,6093
12,200903,9875
12,200904,3961
12,200905,3204
12,200906,3204
12,200907,2142
12,200908,1225
12,200909,1333
12,200910,1348
12,200911,3597
12,200912,3729
12,201001,0
12,201002,11883
12,201003,5084
12,201004,3864
12,201005,3152
12,201006,2938
12,201007,1991
13,200808,1320
13,200809,1724
13,200810,972
13,200811,1117
13,200812,1096
13,200901,2186
13,200902,1224
13,200903,2093
13,200904,948
13,200905,877
13,200906,877
13,200907,1009
13,200908,752
13,200909,859
13,200910,939
13,200911,1124
13,200912,1095
13,201001,1710
13,201002,1415
13,201003,1144
13,201004,1083
13,201005,1021
13,201006,1201
13,201007,1183
14,200808,719
14,200809,842
14,200810,716
14,200811,679
14,200812,717
14,200901,1025
14,200902,734
14,200903,1483
14,200904,632
14,200905,565
14,200906,565
14,200907,519
14,200908,555
14,200909,607
14,200910,572
14,200911,615
14,200912,692
14,201001,905
14,201002,741
14,201003,600
14,201004,574
14,201005,466
14,201006,490
14,201007,502
15,200808,238
15,200809,270
15,200810,226
15,200811,782
15,200812,2008
15,200901,3200
15,200902,3071
15,200903,2607
15,200904,1551
15,200905,746
15,200906,388
15,200907,313
15,200908,269
15,200909,270
15,200910,229
15,200911,878
15,200912,1261
15,201001,3117
15,201002,2756
15,201003,2057
15,201004,915
15,201005,548
15,201006,235
15,201007,280
16,200808,1003
16,200809,923
16,200810,851
16,200811,849
16,200812,1115
16,200901,1094
16,200902,1044
16,200903,876
16,200904,777
16,200905,811
16,200906,661
16,200907,783
16,200908,984
16,200909,760
16,200910,828
16,200911,844
16,200912,841
16,201001,826
16,201002,807
16,201003,738
16,201004,615
16,201005,701
16,201006,518
16,201007,835
17,200808,1215
17,200809,1465
17,200810,2121
17,200811,2339
17,200812,5280
17,200901,6546
17,200902,5216
17,200903,4040
17,200904,2787
17,200905,1807
17,200906,1083
17,200907,1166
17,200908,1257
17,200909,1054
17,200910,1701
17,200911,2741
17,200912,4002
17,201001,6243
17,201002,4937
17,201003,3519
17,201004,2180
17,201005,2041
17,201006,1254
17,201007,1212
18,200808,947
18,200809,918
18,200810,1249
18,200811,1566
18,200812,2230
18,200901,3108
18,200902,2520
18,200903,2578
18,200904,1926
18,200905,1474
18,200906,1591
18,200907,1138
18,200908,1043
