OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000623,Not determined,Water,Groundwater,1990-01-09,13:20:00,EST,,,,,,,,,,,,,USGS-405531078225002,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000072,Sample-Routine,Water,Surface Water,1990-01-04,13:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09386950,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000072,Sample-Routine,Water,Surface Water,1990-01-04,13:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09386950,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-ND,USGS North Dakota Water Science Center,nwisnd.01.99000310,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06470980,,,"Stable, low stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,nwisma.01.99002644,Sample-Routine,Water,Surface Water,1990-01-08,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01198135,,,"Stable, normal stage",Under ice cover,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001010,Sample-Routine,Water,Surface Water,1990-01-04,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573504,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001010,Sample-Routine,Water,Surface Water,1990-01-04,10:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573504,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.99000451,Sample-Routine,Water,Surface Water,1990-01-09,08:20:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08104100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001295,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05437500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001295,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05437500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
